corridor_index,Service Area,Matched Region (CN),archetype,hour,profile_factor_f,peak_power_mw_nominal,load_mw_nominal,grid_cap_mw,cap_margin_mw_nominal
1,Majuqiao Service Area,北京,A,0,0.1,0.9,0.09,0.9,0.81
1,Majuqiao Service Area,北京,A,1,0.1,0.9,0.09,0.9,0.81
1,Majuqiao Service Area,北京,A,2,0.1,0.9,0.09,0.9,0.81
1,Majuqiao Service Area,北京,A,3,0.1,0.9,0.09,0.9,0.81
1,Majuqiao Service Area,北京,A,4,0.1,0.9,0.09,0.9,0.81
1,Majuqiao Service Area,北京,A,5,0.2,0.9,0.18,0.9,0.72
1,Majuqiao Service Area,北京,A,6,0.4,0.9,0.36,0.9,0.54
1,Majuqiao Service Area,北京,A,7,0.5,0.9,0.45,0.9,0.45
1,Majuqiao Service Area,北京,A,8,0.6,0.9,0.54,0.9,0.36
1,Majuqiao Service Area,北京,A,9,0.7,0.9,0.63,0.9,0.27
1,Majuqiao Service Area,北京,A,10,0.8,0.9,0.72,0.9,0.18
1,Majuqiao Service Area,北京,A,11,0.9,0.9,0.81,0.9,0.09
1,Majuqiao Service Area,北京,A,12,1.0,0.9,0.9,0.9,0.0
1,Majuqiao Service Area,北京,A,13,1.0,0.9,0.9,0.9,0.0
1,Majuqiao Service Area,北京,A,14,1.0,0.9,0.9,0.9,0.0
1,Majuqiao Service Area,北京,A,15,1.0,0.9,0.9,0.9,0.0
1,Majuqiao Service Area,北京,A,16,0.9,0.9,0.81,0.9,0.09
1,Majuqiao Service Area,北京,A,17,0.8,0.9,0.72,0.9,0.18
1,Majuqiao Service Area,北京,A,18,0.7,0.9,0.63,0.9,0.27
1,Majuqiao Service Area,北京,A,19,0.6,0.9,0.54,0.9,0.36
1,Majuqiao Service Area,北京,A,20,0.5,0.9,0.45,0.9,0.45
1,Majuqiao Service Area,北京,A,21,0.4,0.9,0.36,0.9,0.54
1,Majuqiao Service Area,北京,A,22,0.2,0.9,0.18,0.9,0.72
1,Majuqiao Service Area,北京,A,23,0.1,0.9,0.09,0.9,0.81
2,Yongle Service Area,北京,B,0,0.2,3.2,0.64,1.8,1.16
2,Yongle Service Area,北京,B,1,0.1,3.2,0.32,1.8,1.48
2,Yongle Service Area,北京,B,2,0.1,3.2,0.32,1.8,1.48
2,Yongle Service Area,北京,B,3,0.1,3.2,0.32,1.8,1.48
2,Yongle Service Area,北京,B,4,0.1,3.2,0.32,1.8,1.48
2,Yongle Service Area,北京,B,5,0.1,3.2,0.32,1.8,1.48
2,Yongle Service Area,北京,B,6,0.1,3.2,0.32,1.8,1.48
2,Yongle Service Area,北京,B,7,0.2,3.2,0.64,1.8,1.16
2,Yongle Service Area,北京,B,8,0.4,3.2,1.28,1.8,0.52
2,Yongle Service Area,北京,B,9,0.5,3.2,1.6,1.8,0.2
2,Yongle Service Area,北京,B,10,0.6,3.2,1.92,1.8,-0.12
2,Yongle Service Area,北京,B,11,0.7,3.2,2.24,1.8,-0.44
2,Yongle Service Area,北京,B,12,0.8,3.2,2.56,1.8,-0.76
2,Yongle Service Area,北京,B,13,0.9,3.2,2.88,1.8,-1.08
2,Yongle Service Area,北京,B,14,1.0,3.2,3.2,1.8,-1.4
2,Yongle Service Area,北京,B,15,1.0,3.2,3.2,1.8,-1.4
2,Yongle Service Area,北京,B,16,1.0,3.2,3.2,1.8,-1.4
2,Yongle Service Area,北京,B,17,1.0,3.2,3.2,1.8,-1.4
2,Yongle Service Area,北京,B,18,0.9,3.2,2.88,1.8,-1.08
2,Yongle Service Area,北京,B,19,0.8,3.2,2.56,1.8,-0.76
2,Yongle Service Area,北京,B,20,0.7,3.2,2.24,1.8,-0.44
2,Yongle Service Area,北京,B,21,0.6,3.2,1.92,1.8,-0.12
2,Yongle Service Area,北京,B,22,0.5,3.2,1.6,1.8,0.2
2,Yongle Service Area,北京,B,23,0.4,3.2,1.28,1.8,0.52
3,Qingxian Service Area,河北,C,0,0.5,4.5,2.25,2.8,0.55
3,Qingxian Service Area,河北,C,1,0.4,4.5,1.8,2.8,1.0
3,Qingxian Service Area,河北,C,2,0.2,4.5,0.9,2.8,1.9
3,Qingxian Service Area,河北,C,3,0.1,4.5,0.45,2.8,2.35
3,Qingxian Service Area,河北,C,4,0.1,4.5,0.45,2.8,2.35
3,Qingxian Service Area,河北,C,5,0.1,4.5,0.45,2.8,2.35
3,Qingxian Service Area,河北,C,6,0.1,4.5,0.45,2.8,2.35
3,Qingxian Service Area,河北,C,7,0.1,4.5,0.45,2.8,2.35
3,Qingxian Service Area,河北,C,8,0.1,4.5,0.45,2.8,2.35
3,Qingxian Service Area,河北,C,9,0.2,4.5,0.9,2.8,1.9
3,Qingxian Service Area,河北,C,10,0.4,4.5,1.8,2.8,1.0
3,Qingxian Service Area,河北,C,11,0.5,4.5,2.25,2.8,0.55
3,Qingxian Service Area,河北,C,12,0.6,4.5,2.7,2.8,0.1
3,Qingxian Service Area,河北,C,13,0.7,4.5,3.15,2.8,-0.35
3,Qingxian Service Area,河北,C,14,0.8,4.5,3.6,2.8,-0.8
3,Qingxian Service Area,河北,C,15,0.9,4.5,4.05,2.8,-1.25
3,Qingxian Service Area,河北,C,16,1.0,4.5,4.5,2.8,-1.7
3,Qingxian Service Area,河北,C,17,1.0,4.5,4.5,2.8,-1.7
3,Qingxian Service Area,河北,C,18,1.0,4.5,4.5,2.8,-1.7
3,Qingxian Service Area,河北,C,19,1.0,4.5,4.5,2.8,-1.7
3,Qingxian Service Area,河北,C,20,0.9,4.5,4.05,2.8,-1.25
3,Qingxian Service Area,河北,C,21,0.8,4.5,3.6,2.8,-0.8
3,Qingxian Service Area,河北,C,22,0.7,4.5,3.15,2.8,-0.35
3,Qingxian Service Area,河北,C,23,0.6,4.5,2.7,2.8,0.1
4,Cangzhou Service Area,河北,A,0,0.1,0.9,0.09,0.9,0.81
4,Cangzhou Service Area,河北,A,1,0.1,0.9,0.09,0.9,0.81
4,Cangzhou Service Area,河北,A,2,0.1,0.9,0.09,0.9,0.81
4,Cangzhou Service Area,河北,A,3,0.1,0.9,0.09,0.9,0.81
4,Cangzhou Service Area,河北,A,4,0.1,0.9,0.09,0.9,0.81
4,Cangzhou Service Area,河北,A,5,0.2,0.9,0.18,0.9,0.72
4,Cangzhou Service Area,河北,A,6,0.4,0.9,0.36,0.9,0.54
4,Cangzhou Service Area,河北,A,7,0.5,0.9,0.45,0.9,0.45
4,Cangzhou Service Area,河北,A,8,0.6,0.9,0.54,0.9,0.36
4,Cangzhou Service Area,河北,A,9,0.7,0.9,0.63,0.9,0.27
4,Cangzhou Service Area,河北,A,10,0.8,0.9,0.72,0.9,0.18
4,Cangzhou Service Area,河北,A,11,0.9,0.9,0.81,0.9,0.09
4,Cangzhou Service Area,河北,A,12,1.0,0.9,0.9,0.9,0.0
4,Cangzhou Service Area,河北,A,13,1.0,0.9,0.9,0.9,0.0
4,Cangzhou Service Area,河北,A,14,1.0,0.9,0.9,0.9,0.0
4,Cangzhou Service Area,河北,A,15,1.0,0.9,0.9,0.9,0.0
