Province/Region,Service Area,Matched Region (CN),分类,month,hour,TOU_raw,TOU_final,hourly_price_abs,price_basis_note
Hebei,Cangzhou Service Area,河北,/,1,0,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,1,1,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,1,2,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,1,3,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,1,4,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,1,5,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,1,6,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,1,7,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,1,8,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,1,9,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,1,10,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,1,11,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,1,12,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,1,13,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,1,14,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,1,15,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,1,16,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,1,17,尖,尖,2.04,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,1,18,尖,尖,2.04,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,1,19,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,1,20,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,1,21,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,1,22,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,1,23,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,2,0,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,2,1,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,2,2,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,2,3,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,2,4,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,2,5,谷,谷,0.3,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,2,6,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,2,7,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,2,8,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,2,9,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,2,10,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,2,11,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,2,12,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,2,13,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,2,14,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,2,15,平,平,1.0,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,2,16,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,2,17,尖,尖,2.04,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,2,18,尖,尖,2.04,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,2,19,峰,峰,1.7,normalized_by_flat_price_equal_1
Hebei,Cangzhou Service Area,河北,/,2,20,峰,峰,1.7,normalized_by_flat_price_equal_1
