corridor_index,Province/Region,Service Area,Matched Region (CN),archetype,peak_time_hour,peak_power_mw_nominal,grid_cap_mw,grid_cap_level_nearest,grid_cap_unified_small_mw,grid_cap_unified_medium_mw,grid_cap_unified_large_mw,grid_cap_unified_xlarge_mw,weekday_daily_mwh_range,weekday_peak_mw_range,holiday_daily_mwh_range,holiday_peak_mw_range,busy_daily_mwh_range,busy_peak_mw_range,load_rigidity,assumption_unserved_penalty,bottleneck_check_nominal_peak_over_cap,daily_energy_mwh_nominal
1,Beijing,Majuqiao Service Area,北京,A,14,0.9,0.9,small,0.9,1.8,2.8,3.0,3-8,0.8-1.5,10-15,1.5-3,15-30,3-6,rigid,c_ls >> c_grid,1.0,11.52
2,Beijing/Hebei,Yongle Service Area,北京,B,16,3.2,1.8,medium,0.9,1.8,2.8,3.0,3-8,0.8-1.5,10-15,1.5-3,15-30,3-6,rigid,c_ls >> c_grid,1.7778,40.96
3,Hebei,Qingxian Service Area,河北,C,18,4.5,2.8,large,0.9,1.8,2.8,3.0,3-8,0.8-1.5,10-15,1.5-3,15-30,3-6,rigid,c_ls >> c_grid,1.6071,57.6
4,Hebei,Cangzhou Service Area,河北,A,14,0.9,0.9,small,0.9,1.8,2.8,3.0,3-8,0.8-1.5,10-15,1.5-3,15-30,3-6,rigid,c_ls >> c_grid,1.0,11.52
5,Tianjin,Wangqingtuo Service Area,天津,B,16,3.2,1.8,medium,0.9,1.8,2.8,3.0,3-8,0.8-1.5,10-15,1.5-3,15-30,3-6,rigid,c_ls >> c_grid,1.7778,40.96
6,Shandong,Dezhou Service Area,山东,C,18,4.5,2.8,large,0.9,1.8,2.8,3.0,3-8,0.8-1.5,10-15,1.5-3,15-30,3-6,rigid,c_ls >> c_grid,1.6071,57.6
7,Shandong,Yucheng Service Area,山东,A,14,0.9,0.9,small,0.9,1.8,2.8,3.0,3-8,0.8-1.5,10-15,1.5-3,15-30,3-6,rigid,c_ls >> c_grid,1.0,11.52
8,Shandong,Jinan Service Area,山东,B,16,3.2,1.8,medium,0.9,1.8,2.8,3.0,3-8,0.8-1.5,10-15,1.5-3,15-30,3-6,rigid,c_ls >> c_grid,1.7778,40.96
9,Shandong,Laiwu Service Area,山东,C,18,4.5,2.8,large,0.9,1.8,2.8,3.0,3-8,0.8-1.5,10-15,1.5-3,15-30,3-6,rigid,c_ls >> c_grid,1.6071,57.6
10,Shandong,Xintai Service Area,山东,A,14,0.9,0.9,small,0.9,1.8,2.8,3.0,3-8,0.8-1.5,10-15,1.5-3,15-30,3-6,rigid,c_ls >> c_grid,1.0,11.52
11,Shandong,Linyi Service Area,山东,B,16,3.2,1.8,medium,0.9,1.8,2.8,3.0,3-8,0.8-1.5,10-15,1.5-3,15-30,3-6,rigid,c_ls >> c_grid,1.7778,40.96
12,Jiangsu,Xinyi Service Area,江苏,C,18,4.5,2.8,large,0.9,1.8,2.8,3.0,3-8,0.8-1.5,10-15,1.5-3,15-30,3-6,rigid,c_ls >> c_grid,1.6071,57.6
13,Jiangsu,Shuyang Service Area,江苏,A,14,0.9,0.9,small,0.9,1.8,2.8,3.0,3-8,0.8-1.5,10-15,1.5-3,15-30,3-6,rigid,c_ls >> c_grid,1.0,11.52
14,Jiangsu,Huai'an Chuanxing Service Area,江苏,B,16,3.2,1.8,medium,0.9,1.8,2.8,3.0,3-8,0.8-1.5,10-15,1.5-3,15-30,3-6,rigid,c_ls >> c_grid,1.7778,40.96
15,Jiangsu,Huai'an Liudong Service Area,江苏,C,18,4.5,2.8,large,0.9,1.8,2.8,3.0,3-8,0.8-1.5,10-15,1.5-3,15-30,3-6,rigid,c_ls >> c_grid,1.6071,57.6
16,Jiangsu,Fanshui Service Area,江苏,A,14,0.9,0.9,small,0.9,1.8,2.8,3.0,3-8,0.8-1.5,10-15,1.5-3,15-30,3-6,rigid,c_ls >> c_grid,1.0,11.52
17,Jiangsu,Longben Service Area,江苏,B,16,3.2,1.8,medium,0.9,1.8,2.8,3.0,3-8,0.8-1.5,10-15,1.5-3,15-30,3-6,rigid,c_ls >> c_grid,1.7778,40.96
18,Jiangsu,Zhengyi Service Area,江苏,C,18,4.5,2.8,large,0.9,1.8,2.8,3.0,3-8,0.8-1.5,10-15,1.5-3,15-30,3-6,rigid,c_ls >> c_grid,1.6071,57.6
19,Jiangsu,Xuanbao Service Area,江苏,A,14,0.9,0.9,small,0.9,1.8,2.8,3.0,3-8,0.8-1.5,10-15,1.5-3,15-30,3-6,rigid,c_ls >> c_grid,1.0,11.52
20,Jiangsu,Guangling Service Area,江苏,B,16,3.2,1.8,medium,0.9,1.8,2.8,3.0,3-8,0.8-1.5,10-15,1.5-3,15-30,3-6,rigid,c_ls >> c_grid,1.7778,40.96
21,Jiangsu,Yangcheng Lake Service Area,江苏,C,18,4.5,2.8,large,0.9,1.8,2.8,3.0,3-8,0.8-1.5,10-15,1.5-3,15-30,3-6,rigid,c_ls >> c_grid,1.6071,57.6
22,Jiangsu,Meicun Service Area,江苏,A,14,0.9,0.9,small,0.9,1.8,2.8,3.0,3-8,0.8-1.5,10-15,1.5-3,15-30,3-6,rigid,c_ls >> c_grid,1.0,11.52
23,Shanghai,Jiangqiao Terminal Area,上海,B,16,3.2,1.8,medium,0.9,1.8,2.8,3.0,3-8,0.8-1.5,10-15,1.5-3,15-30,3-6,rigid,c_ls >> c_grid,1.7778,40.96
