experiment_id,variant_id,question,track,source,case,case_label,solver_status,termination_condition,case_outcome,best_incumbent,best_bound,gap,elapsed_seconds,lp_relaxation_objective,timeline_mode,reconf_hours,delay_windows,fixed_total_mwh,mobile_total_mwh,c_reconf_yuan_per_mwh,C_total,C_grid,C_unserved,C_reconf,C_storage,C_total_with_storage,total_unmet_load,total_grid_purchase,total_charging_energy,total_discharging_energy,total_reconfiguration_volume,average_active_mobile_capacity_utilisation,SC_1,HT,R_delay,V_reconf_norm,B_reuse,L_friction,V_mob_net,note,residence_windows,turnover_level
E5,turnover_4,"Under a shared storage budget, does mobility win when the dominant stress site changes over time?",synthetic,synthetic_turnover_scan,no_storage,Case 0: No Storage,ok,optimal,optimal,2320.9257000000002,2320.9256999999816,0.0,2.2179999999934807,2320.9257000000002,synthetic_hourly,24,1,0.0,0.0,0.0,2320.9257000000002,911.9576999999999,1408.9680000000003,0.0,0.0,2320.9257000000002,117.41400000000003,853.85,0.0,0.0,0.0,0.0,0.2353677113235752,0.14285714285714285,0.0,0.0,,,,,4,4
E5,turnover_4,"Under a shared storage budget, does mobility win when the dominant stress site changes over time?",synthetic,synthetic_turnover_scan,fixed_only,Case A: Fixed Only,ok,optimal,optimal,2110.181663157895,2110.181663157895,0.0,2.0,2110.181663157895,synthetic_hourly,24,1,3.6,0.0,0.0,2110.181663157895,919.5416631578947,1187.0400000000002,0.0,3.6,2110.181663157895,98.92000000000002,873.1928421052631,22.73684210526316,21.888000000000005,0.0,0.0,0.236263272532351,0.14285714285714285,0.0,0.0,,,,,4,4
E5,turnover_4,"Under a shared storage budget, does mobility win when the dominant stress site changes over time?",synthetic,synthetic_turnover_scan,mobile_only,Case B: Mobile Only,ok,optimal,optimal,2160.5500721052636,2160.5500721052636,0.0,2.547000000020489,2160.5500721052636,synthetic_hourly,24,1,0.0,2.4,0.5,2160.5500721052636,919.9108721052631,1237.0392000000004,0.0,3.5999999999999996,2160.5500721052636,103.08660000000003,868.743294736842,15.157894736842106,14.592000000000002,1.2212453270876722e-15,0.3950365059232412,0.2370659919805439,0.14285714285714285,3.1071428567391584,7.269317422708208e-17,,,,,4,4
E5,turnover_4,"Under a shared storage budget, does mobility win when the dominant stress site changes over time?",synthetic,synthetic_turnover_scan,hybrid,Case C: Hybrid,ok,optimal,optimal,2122.541287631579,2122.541287631579,0.0,3.547000000020489,2122.541287631579,synthetic_hourly,24,1,1.8,1.2,0.5,2122.541287631579,921.4888876315789,1197.4524000000004,0.0,3.5999999999999996,2122.541287631579,99.78770000000003,872.1836684210526,18.947368421052634,18.240000000000002,3.3306690738754696e-16,0.44527701822723403,0.23679389234479944,0.14285714285714285,2.999999999625,3.9650822303320966e-17,,,,,4,4
E5,turnover_3,"Under a shared storage budget, does mobility win when the dominant stress site changes over time?",synthetic,synthetic_turnover_scan,no_storage,Case 0: No Storage,ok,optimal,optimal,2340.3987750000006,2340.3987749999906,0.0,1.6099999999860302,2340.3987750000006,synthetic_hourly,24,1,0.0,0.0,0.0,2340.3987750000006,912.5127749999999,1427.8860000000004,0.0,0.0,2340.3987750000006,118.99050000000004,854.2715,0.0,0.0,0.0,0.0,0.23490895666837588,0.2857142857142857,0.0,0.0,,,,,3,3
E5,turnover_3,"Under a shared storage budget, does mobility win when the dominant stress site changes over time?",synthetic,synthetic_turnover_scan,fixed_only,Case A: Fixed Only,ok,optimal,optimal,2120.703063157895,2120.703063157895,0.0,1.937000000034459,2120.703063157895,synthetic_hourly,24,1,3.6,0.0,0.0,2120.703063157895,921.3270631578947,1195.7760000000003,0.0,3.6,2120.703063157895,99.64800000000002,874.4628421052631,22.73684210526316,21.888000000000005,0.0,0.0,0.23624448265743367,0.2857142857142857,0.0,0.0,,,,,3,3
E5,turnover_3,"Under a shared storage budget, does mobility win when the dominant stress site changes over time?",synthetic,synthetic_turnover_scan,mobile_only,Case B: Mobile Only,ok,optimal,optimal,2180.0231471052634,2180.0231471052634,0.0,3.359000000054948,2180.0231471052634,synthetic_hourly,24,1,0.0,2.4,0.5,2180.0231471052634,920.4659471052631,1255.9572000000003,0.0,3.5999999999999996,2180.0231471052634,104.66310000000003,869.164794736842,15.157894736842104,14.592,9.992007221626409e-16,0.39403803739406446,0.23637383771050413,0.2857142857142857,3.053571428182079,5.947623345852171e-17,,,,,3,3
E5,turnover_3,"Under a shared storage budget, does mobility win when the dominant stress site changes over time?",synthetic,synthetic_turnover_scan,hybrid,Case C: Hybrid,ok,optimal,optimal,2141.260037631579,2141.260037631579,0.0,4.030999999959022,2141.260037631579,synthetic_hourly,24,1,1.8,1.2,0.5,2141.260037631579,922.147637631579,1215.5124000000003,0.0,3.5999999999999996,2141.260037631579,101.29270000000004,872.6766684210526,18.947368421052634,18.240000000000002,1.942890293094024e-16,0.4552524214161527,0.23657274699175732,0.2857142857142857,2.999999999625,2.3129646343603898e-17,,,,,3,3
E5,turnover_2,"Under a shared storage budget, does mobility win when the dominant stress site changes over time?",synthetic,synthetic_turnover_scan,no_storage,Case 0: No Storage,ok,optimal,optimal,2350.8434,2350.8434,0.0,1.7809999999590218,2350.8434,synthetic_hourly,24,1,0.0,0.0,0.0,2350.8434,912.7393999999999,1438.1040000000003,0.0,0.0,2350.8434,119.84200000000004,854.446,0.0,0.0,0.0,0.0,0.23467728374130836,0.42857142857142855,0.0,0.0,,,,,2,2
E5,turnover_2,"Under a shared storage budget, does mobility win when the dominant stress site changes over time?",synthetic,synthetic_turnover_scan,fixed_only,Case A: Fixed Only,ok,optimal,optimal,2123.978963157895,2123.978963157895,0.0,2.109000000054948,2123.978963157895,synthetic_hourly,24,1,3.6,0.0,0.0,2123.9789631578947,922.5389631578947,1197.8400000000001,0.0,3.6,2123.9789631578947,99.82000000000002,875.3168421052632,22.73684210526316,21.888000000000005,0.0,0.0,0.23651068200875525,0.42857142857142855,0.0,0.0,,,,,2,2
