experiment_id,variant_id,question,track,source,case,case_label,solver_status,termination_condition,case_outcome,best_incumbent,best_bound,gap,elapsed_seconds,lp_relaxation_objective,timeline_mode,reconf_hours,delay_windows,fixed_total_mwh,mobile_total_mwh,c_reconf_yuan_per_mwh,C_total,C_grid,C_unserved,C_reconf,C_storage,C_total_with_storage,total_unmet_load,total_grid_purchase,total_charging_energy,total_discharging_energy,total_reconfiguration_volume,average_active_mobile_capacity_utilisation,SC_1,HT,R_delay,V_reconf_norm,B_reuse,L_friction,V_mob_net,note,concentration_map,turnover_map
E7,conc0.35_res5,"Under a shared storage budget, when does mobile storage become preferable across spatial concentration and hotspot movement?",synthetic,synthetic_concentration_turnover_map,no_storage,Case 0: No Storage,ok,optimal,optimal,2405.4158,2405.415800000003,0.0,2.202999999979511,2405.4158,synthetic_hourly,24,1,0.0,0.0,0.0,2405.4158,915.2558,1490.1600000000003,0.0,0.0,2405.4158,124.18000000000002,856.318,0.0,0.0,0.0,0.0,0.20986799163414202,0.14285714285714285,0.0,0.0,,,,,0.35,5
E7,conc0.35_res5,"Under a shared storage budget, when does mobile storage become preferable across spatial concentration and hotspot movement?",synthetic,synthetic_concentration_turnover_map,fixed_only,Case A: Fixed Only,ok,optimal,optimal,2158.865063157895,2158.865063157895,0.0,1.9679999999934807,2158.865063157895,synthetic_hourly,24,1,3.6,0.0,0.0,2158.865063157895,927.7610631578947,1227.5040000000004,0.0,3.6,2158.865063157895,102.29200000000003,879.0548421052631,22.73684210526316,21.888000000000005,0.0,0.0,0.2107882131679047,0.14285714285714285,0.0,0.0,,,,,0.35,5
E7,conc0.35_res5,"Under a shared storage budget, when does mobile storage become preferable across spatial concentration and hotspot movement?",synthetic,synthetic_concentration_turnover_map,mobile_only,Case B: Mobile Only,ok,optimal,optimal,2242.2486421052636,2242.2486421052636,0.0,2.155999999959022,2242.2486421052636,synthetic_hourly,24,1,0.0,2.4,0.5,2242.248642105263,923.5926421052632,1315.0560000000003,0.0,3.5999999999999996,2242.248642105263,109.58800000000002,871.4758947368421,15.157894736842104,14.592,1.1102230246251565e-16,0.37410938356552587,0.21010711530163073,0.2857142857142857,2.6416666663746065,6.608470384280189e-18,,,,,0.35,5
E7,conc0.35_res5,"Under a shared storage budget, when does mobile storage become preferable across spatial concentration and hotspot movement?",synthetic,synthetic_concentration_turnover_map,hybrid,Case C: Hybrid,ok,optimal,optimal,2200.556852631579,2200.556852631579,0.0,2.48499999998603,2200.556852631579,synthetic_hourly,24,1,1.8,1.2,0.5,2200.556852631579,925.6768526315789,1271.2800000000004,0.0,3.5999999999999996,2200.556852631579,105.94000000000004,875.2653684210526,18.947368421052623,18.24,8.992806499463768e-15,0.4252715015058296,0.21047551003136555,0.14285714285714285,2.7583333330145603,1.070572202189666e-15,,,,,0.35,5
E7,conc0.35_res4,"Under a shared storage budget, when does mobile storage become preferable across spatial concentration and hotspot movement?",synthetic,synthetic_concentration_turnover_map,no_storage,Case 0: No Storage,ok,optimal,optimal,2457.9772000000003,2457.977200000002,0.0,2.0,2457.9772000000003,synthetic_hourly,24,1,0.0,0.0,0.0,2457.9772000000003,915.3532,1542.6240000000003,0.0,0.0,2457.9772000000003,128.55200000000002,856.3919999999999,0.0,0.0,0.0,0.0,0.20925272775648995,0.14285714285714285,0.0,0.0,,,,,0.35,4
E7,conc0.35_res4,"Under a shared storage budget, when does mobile storage become preferable across spatial concentration and hotspot movement?",synthetic,synthetic_concentration_turnover_map,fixed_only,Case A: Fixed Only,ok,optimal,optimal,2211.426463157895,2211.426463157895,0.0,2.01500000001397,2211.426463157895,synthetic_hourly,24,1,3.6,0.0,0.0,2211.426463157895,927.8584631578947,1279.9680000000003,0.0,3.6,2211.426463157895,106.66400000000003,879.1288421052632,22.73684210526316,21.888000000000005,0.0,0.0,0.2102856993776905,0.14285714285714285,0.0,0.0,,,,,0.35,4
E7,conc0.35_res4,"Under a shared storage budget, when does mobile storage become preferable across spatial concentration and hotspot movement?",synthetic,synthetic_concentration_turnover_map,mobile_only,Case B: Mobile Only,ok,optimal,optimal,2294.8100421052636,2294.810042105263,0.0,2.515999999945052,2294.8100421052636,synthetic_hourly,24,1,0.0,2.4,0.5,2294.8100421052636,923.6900421052632,1367.5200000000004,0.0,3.5999999999999996,2294.8100421052636,113.96000000000002,871.549894736842,15.157894736842104,14.592,3.885780586188048e-16,0.3727931372204995,0.20948221229756916,0.2857142857142857,2.6416666663746065,2.3129646344980663e-17,,,,,0.35,4
E7,conc0.35_res4,"Under a shared storage budget, when does mobile storage become preferable across spatial concentration and hotspot movement?",synthetic,synthetic_concentration_turnover_map,hybrid,Case C: Hybrid,ok,optimal,optimal,2253.1182526315793,2253.1182526315793,0.0,2.844000000040978,2253.1182526315793,synthetic_hourly,24,1,1.8,1.2,0.5,2253.1182526315793,925.774252631579,1323.7440000000004,0.0,3.5999999999999996,2253.1182526315793,110.31200000000003,875.3393684210525,18.947368421052634,18.240000000000002,8.881784197001252e-16,0.4223498092543804,0.20985465860839322,0.14285714285714285,2.833333332997685,1.0573552614218925e-16,,,,,0.35,4
E7,conc0.35_res3,"Under a shared storage budget, when does mobile storage become preferable across spatial concentration and hotspot movement?",synthetic,synthetic_concentration_turnover_map,no_storage,Case 0: No Storage,ok,optimal,optimal,2559.5014000000006,2559.5013999999987,0.0,2.202999999979511,2559.5014000000006,synthetic_hourly,24,1,0.0,0.0,0.0,2559.5014000000006,915.6454,1643.8560000000004,0.0,0.0,2559.5014000000006,136.98800000000003,856.6139999999999,0.0,0.0,0.0,0.0,0.20797662959555568,0.2857142857142857,0.0,0.0,,,,,0.35,3
E7,conc0.35_res3,"Under a shared storage budget, when does mobile storage become preferable across spatial concentration and hotspot movement?",synthetic,synthetic_concentration_turnover_map,fixed_only,Case A: Fixed Only,ok,optimal,optimal,2312.950663157895,2312.950663157895,0.0,2.155999999959022,2312.950663157895,synthetic_hourly,24,1,3.6,0.0,0.0,2312.9506631578947,928.1506631578948,1381.2000000000003,0.0,3.6,2312.9506631578947,115.10000000000002,879.3508421052632,22.73684210526316,21.888000000000005,0.0,0.0,0.2090152347663866,0.2857142857142857,0.0,0.0,,,,,0.35,3
